ID_Product,PREP,LONG,LARG,HAUT,QTE,Volume_Product,POIDS,TYPE_OP,index,Number_Lines,Product_FREQUENCY,Quantity_demand,Average_Volume/Day,Familly
432739,detail,300,205,40,25,2460000,1060,UNIT,1928,12,0.046153846153846156,17,160846.15384615384,Normal
2183363,detail,110,110,30,20,363000,28,UNIT,3917,10,0.038461538461538464,33,46073.07692307692,Fragile
2270751,detail,155,67,50,1,519250,93,UNIT,4901,11,0.04230769230769231,52,103850.0,Fragile
385205,detail,80,60,60,1,288000,216,UNIT,1404,86,0.33076923076923076,188,208246.15384615384,Normal
203872,detail,250,40,40,1,400000,61,UNIT,232,54,0.2076923076923077,86,132307.6923076923,Fragile
2180415,detail,290,195,125,25,7068750,3683,UNIT,3899,9,0.03461538461538462,15,407812.5,Normal
2270753,detail,160,70,50,1,560000,105,UNIT,4903,4,0.015384615384615385,11,23692.30769230769,Fragile
2184834,detail,285,195,130,50,7224750,4266,UNIT,4009,49,0.18846153846153846,113,3139987.5,Normal
2228999,detail,450,395,120,1,21330000,1903,UNIT,4515,5,0.019230769230769232,8,656307.6923076923,Normal
2153434,detail,350,65,65,1,1478750,802,UNIT,3429,10,0.038461538461538464,10,56875.0,Normal
2261190,detail,170,145,76,1,1873400,763,UNIT,4804,75,0.28846153846153844,117,843030.0,Normal
418764,detail,130,120,40,50,624000,503,UNIT,1821,42,0.16153846153846155,231,554400.0,Normal
2051838,detail,105,60,60,1,378000,398,UNIT,2468,247,0.95,382,555369.2307692308,Normal
2091369,detail,125,80,55,100,550000,561,UNIT,2803,50,0.19230769230769232,524,1108461.5384615385,Normal
2159218,detail,155,155,50,1,1201250,297,UNIT,3588,11,0.04230769230769231,11,50822.11538461538,Normal
47936,detail,195,125,32,10,780000,353,UNIT,142,109,0.41923076923076924,1445,4335000.0,Normal
2025568,detail,225,47,10,1,105750,40,UNIT,2266,45,0.17307692307692307,131,53281.730769230766,Fragile
2216090,detail,350,60,45,1,945000,224,UNIT,4247,17,0.06538461538461539,31,112673.07692307692,Normal
2104722,detail,595,50,50,1,1487500,1622,UNIT,2891,25,0.09615384615384616,63,360432.6923076923,Normal
2179710,detail,160,60,60,50,576000,1471,UNIT,3877,135,0.5192307692307693,216,478523.07692307694,Normal
354615,detail,49,38,19,1,35378,19,UNIT,1128,10,0.038461538461538464,13,1768.9,Fragile
2224282,detail,145,35,35,8,177625,312,UNIT,4481,77,0.29615384615384616,147,100426.44230769231,Normal
338360,detail,395,22,29,1,252010,245,UNIT,1073,15,0.057692307692307696,16,15508.307692307691,Normal
246908,detail,250,120,20,10,600000,539,UNIT,443,82,0.3153846153846154,1340,3092307.6923076925,Normal
409186,detail,215,10,10,1,21500,74,UNIT,1574,90,0.34615384615384615,467,38617.307692307695,Fragile
2216108,detail,425,55,50,1,1168750,465,UNIT,4258,8,0.03076923076923077,18,80913.46153846153,Normal
338924,detail,132,71,71,1,665412,616,UNIT,1078,11,0.04230769230769231,13,33270.6,Normal
384257,detail,235,70,55,1,904750,466,UNIT,1399,246,0.9461538461538461,513,1785141.3461538462,Normal
272073,detail,185,145,110,100,2950750,1691,UNIT,540,50,0.19230769230769232,109,1237045.1923076923,Normal
2170627,detail,95,30,30,10,85500,43,UNIT,3793,5,0.019230769230769232,7,2301.923076923077,Fragile
341528,detail,20,40,5,1,4000,4,UNIT,1119,51,0.19615384615384615,77,1184.6153846153845,Fragile
2037817,detail,250,215,9,1,483750,218,UNIT,2317,131,0.5038461538461538,645,1200072.1153846155,Normal
2194344,detail,140,92,53,100,682640,685,UNIT,4063,48,0.18461538461538463,237,622252.6153846154,Normal
2185629,detail,425,65,65,1,1795625,1069,UNIT,4041,6,0.023076923076923078,18,124312.5,Normal
216363,detail,160,122,54,100,1054080,2491,UNIT,296,73,0.28076923076923077,188,762180.9230769231,Normal
2206737,detail,285,45,45,1,577125,429,UNIT,4179,540,2.076923076923077,981,2177537.019230769,Normal
2141908,detail,180,130,50,50,1170000,1619,UNIT,3340,151,0.5807692307692308,736,3312000.0,Normal
2021991,detail,153,45,45,8,309825,330,UNIT,2214,109,0.41923076923076924,141,168020.48076923078,Normal
2117959,detail,130,130,25,6,422500,930,UNIT,3087,307,1.1807692307692308,464,754000.0,Normal
409201,detail,550,45,25,1,618750,214,UNIT,1588,626,2.4076923076923076,3197,7608245.192307692,Normal
369677,detail,259,230,84,10,5003880,8570,UNIT,1222,77,0.29615384615384616,518,9969268.615384616,Heavy
286799,detail,195,160,140,200,4368000,1796,UNIT,672,236,0.9076923076923077,819,13759200.0,Normal
2022052,detail,175,90,80,32,1260000,2177,UNIT,2249,550,2.1153846153846154,761,3687923.076923077,Normal
2154881,detail,200,80,3,5,48000,48,UNIT,3454,30,0.11538461538461539,73,13476.923076923076,Fragile
